"Supplementary Table 2: NIRVS found in nine arthropod genomes. Following a reciprocal tBLASTn search against the NCBI non-redundant database, details of the virus of origin for each NIRVS were collated using published and unpublished metadata. Possible false positive hits are highlighted in yellow and have not been included in final NIRVS counts elsewhere in the manuscript.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Aedes aegypti chromosome 1,,,,,,,,,,,,,,,
NW_017857234,NW_017857234_2,515486,517378,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857247,NW_017857247_2,9464900,9463008,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857257,NW_017857257,485281,487173,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857283,NW_017857283,1815180,1813288,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.03E-177,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857310,NW_017857310,183612,185504,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857354,NW_017857354,499268,497376,1892,66.70%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",1.77E-176,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857396,NW_017857396_1,4947658,4945766,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",4.51E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857414,NW_017857414,387756,389648,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857488,NW_017857488,1057316,1055424,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.83E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857670,NW_017857670_1,5893399,5895291,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857681,NW_017857681,1958149,1956257,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857688,NW_017857688,1612867,1610975,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857739,NW_017857739,3573389,3571497,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857758,NW_017857758,3006564,3008456,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857790,NW_017857790,660385,658493,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857821,NW_017857821,1709328,1711220,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",4.61E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857830,NW_017857830_2,76144,78036,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857832,NW_017857832,87467,85575,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857882,NW_017857882,1049087,1050979,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857926,NW_017857926,1326283,1324391,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857968,NW_017857968,925387,927279,1892,67.50%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",7.05E-180,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857994,NW_017857994,12958,14850,1892,64.40%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",1.91E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017858117,NW_017858117,193094,191202,1892,66.70%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",9.98E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856041,NW_017856041_1,2735677,2733815,1862,100.00%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856043,NW_017856043,3835173,3836993,1820,100.00%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856117,NW_017856117,523805,525625,1820,100.00%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856161,NW_017856161,90623,92485,1862,100%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856173,NW_017856173,290292,288472,1820,100.00%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856249,NW_017856249,634371,636188,1817,100.00%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856302,NW_017856302,4362872,4361052,1820,100.00%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856355,NW_017856355,209085,207265,1820,99.30%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856933,NW_017856933,558827,557007,1820,100.00%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857046,NW_017857046_1,1036919,1038739,1820,100%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857050,NW_017857050,6436079,6437899,1820,100%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857121,NW_017857121_1,2037164,2038954,1790,100%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857224,NW_017857224_3,368591,370453,1862,99.60%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857234,NW_017857234_1,5424694,5426514,1820,100%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857241,NW_017857241,425584,427446,1862,100.00%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857281,NW_017857281,294240,296060,1820,99.60%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857322,NW_017857322,2161470,2159608,1862,100%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857530,NW_017857530,17452,19272,1820,99.60%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857533,NW_017857533,1335551,1333689,1862,100%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857703,NW_017857703,1809650,1807845,1805,99.60%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857910,NW_017857910_1,1680057,1678237,1820,99.60%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857910,NW_017857910_2,1486801,1484939,1862,100.00%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856482,NW_017856482_1,2823064,2821211,1853,75.60%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856482,NW_017856482_2,2822992,2821145,1847,75.60%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856228,NW_017856228_1,5948972,5947068,1904,100.00%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856208,NW_017856208,198470,196623,1847,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",2.94E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857165,NW_017857165_1,2066742,2068589,1847,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",2.70E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857419,NW_017857419,159495,161336,1841,67.20%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",1.85E-174,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857656,NW_017857656_1,310640,312487,1847,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.04E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857054,NW_017857054_2,216928,215036,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.33E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857165,NW_017857165_2,122051,120315,1736,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",2.08E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856037,NW_017856037_2,529198,529671,473,69.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",4.28E-75,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856228,NW_017856228_2,5295847,5297706,1859,64.10%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",2.63E-167,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856327,NW_017856327_1,2376503,2376030,473,86.70%,MF344588,"Croada virus strain BR/MT-M07 glycoprotein gene, partial cds",2.85E-87,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856377,NW_017856377,785185,785658,473,69.60%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.30E-75,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856411,NW_017856411_2,1544321,1545061,740,65.60%,KT966486,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",1.65E-111,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017856482,NW_017856482_4,2413512,2413985,473,69.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",4.27E-75,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856666,NW_017856666,316423,315950,473,69.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",4.27E-75,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856727,NW_017856727_4,350241,350041,200,50.70%,KM817661,"Xincheng Mosquito Virus strain XC1-6 ORF1 (ORF1), ORF2 (ORF2), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds",1.31E-16,V,Unassigned,Mononegavirales,Anphevirus,,Glycoprotein,Structural
NW_017856927,NW_017856927_3,955217,956518,1301,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",1.10E-180,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857075,NW_017857075_4,884834,886696,1862,70.40%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857080,NW_017857080,2876805,2877446,641,31.90%,KX148553,"Gambie virus putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",7.46E-20,V,Unassigned,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017857103,NW_017857103_1,2214424,2216634,2210,47.30%,AB604791,"Culex tritaeniorhynchus rhabdovirus RNA, complete genome, strain: TY",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,,L,Non-structural
NW_017857122,NW_017857122,1042057,1040087,1970,66.90%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857268,NW_017857268_1,4526151,4525906,245,63.60%,MF176358,"Culex rhabdo-like virus strain mosWSgb44750, complete genome",9.64E-12,V,Unassigned,Mononegavirales,Unassigned,Rhabdo-like,L,Non-structural
NW_017857308,NW_017857308_3,1168055,1169917,1862,75.10%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857321,NW_017857321_1,338434,339804,1370,45.50%,MF176377,"Culex mononega-like virus 2 strain mosWSX25901, complete genome",1.69E-130,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857321,NW_017857321_2,338905,339429,524,61.50%,MF176247,"Culex mononega-like virus 2 strain mos172gb89800, complete genome",6.10E-66,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857321,NW_017857321_3,330976,331329,353,33.00%,KX148552,"Bolahun virus variant 2 putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",8.66E-19,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857321,NW_017857321_4,330150,330947,797,49.10%,MF176377,"Culex mononega-like virus 2 strain mosWSX25901, complete genome",3.50E-76,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857321,NW_017857321_5,295866,296363,497,56.40%,MF176332,"Culex mononega-like virus 2 strain mosWSB31078, complete genome",8.62E-55,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857321,NW_017857321_6,295282,295860,578,38.90%,MF176377,"Culex mononega-like virus 2 strain mosWSX25901, complete genome",7.68E-38,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857391,NW_017857391,12622,11591,1031,70.10%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.44E-164,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857404,NW_017857404,382102,384360,2258,33.40%,KX580901,"Berant virus ORFX gene, complete cds; and L protein gene, partial cds",3.03E-93,V,Unassigned,Mononegavirales,Unassigned,,L,Non-structural
NW_017857587,NW_017857587_2,181088,180636,452,45.70%,KM817661,"Xincheng Mosquito Virus strain XC1-6 ORF1 (ORF1), ORF2 (ORF2), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds",4.01E-32,V,Unassigned,Mononegavirales,Anphevirus,,Glycoprotein,Structural
NW_017857587,NW_017857587_3,139728,138679,1049,47.20%,MF176318,"Culex mononega-like virus 2 strain mos191X56446, complete genome",3.66E-83,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857587,NW_017857587_4,133936,132854,1082,50.60%,MF176332,"Culex mononega-like virus 2 strain mosWSB31078, complete genome",7.97E-113,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857590,NW_017857590_2,5060819,5060196,623,36.00%,AB604791,"Culex tritaeniorhynchus rhabdovirus RNA, complete genome, strain: TY",2.01E-23,V,Unassigned,Mononegavirales,Unassigned,,L,Non-structural
NW_017857590,NW_017857590_5,3581216,3580968,248,47.20%,AB604791,"Culex tritaeniorhynchus rhabdovirus RNA, complete genome, strain: TY",1.67E-07,V,Unassigned,Mononegavirales,Unassigned,,L,Non-structural
NW_017857626,NW_017857626,414959,414423,536,27.60%,MF176317,"Culex mononega-like virus 1 strain mos191X45127 segment 2, complete sequence",1.12E-14,V,Unassigned,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017857656,NW_017857656_2,311207,311680,473,69.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",4.27E-75,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857670,NW_017857670_2,5894053,5894526,473,69.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",4.27E-75,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857770,NW_017857770_1,1685967,1688123,2156,46.90%,AB604791,"Culex tritaeniorhynchus rhabdovirus RNA, complete genome, strain: TY",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,,L,Non-structural
NW_017857782,NW_017857782,727951,725741,2210,41.90%,KM817661,"Xincheng Mosquito Virus strain XC1-6 ORF1 (ORF1), ORF2 (ORF2), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds",0.00E+00,V,Unassigned,Mononegavirales,Anphevirus,,L,Non-structural
NW_017857910,NW_017857910_3,1206428,1206090,338,53.90%,KU095840,"Tongilchon virus 1 strain A12.2676/ROK/2012, complete genome",2.48E-31,V,Unassigned,Mononegavirales,Unassigned,Rhabdo-like,Glycoprotein,Structural
NW_017857915,NW_017857915_1,999267,998506,761,73.60%,KT966486,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",1.05E-134,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017857927,NW_017857927_2,367230,366760,470,39.60%,AB604791,"Culex tritaeniorhynchus rhabdovirus RNA, complete genome, strain: TY",5.76E-22,V,Unassigned,Mononegavirales,Unassigned,,L,Non-structural
NW_017858103,NW_017858103,591659,591219,440,55.90%,KU095840,"Tongilchon virus 1 strain A12.2676/ROK/2012, complete genome",1.22E-31,V,Unassigned,Mononegavirales,Unassigned,Rhabdo-like,Glycoprotein,Structural
,,,,,,,,,,,,,,,
Culex quinquefasciatus,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,Characteristics of closest tBLASTn match,,,,,,,,,
Genomic scaffold accession,NIRVS ID,Hit start (nt),Hit end (nt),NIRVS length (nt),Pairwise identity with closest match,GenBank accession,Description ,E-value,Baltimore Class ,Order,Family,Genus,Viral region,Structural/non-structural,
supercont3.79,supercont3.79,416573,418324,1751,40.60%,KX924631,"Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds",1.91E-132,V,Unassigned,Chuviridae,Unassigned,Glycoprotein,Structural,
supercont3.114,supercont3.114,315856,314657,-1199,40.90%,KX924631,"Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds",8.09E-96,V,Unassigned,Chuviridae,Unassigned,Glycoprotein,Structural,
supercont3.148,supercont3.148_1,248405,247671,-734,41.50%,KX924631,"Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds",3.88E-51,V,Unassigned,Chuviridae,Unassigned,Glycoprotein,Structural,
supercont3.295,supercont3.295,154466,152805,-1661,35.90%,KX924631,"Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds",3.78E-124,V,Unassigned,Chuviridae,Unassigned,Glycoprotein,Structural,
supercont3.773,supercont3.773,104429,106180,1751,39.10%,KX924631,"Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds",2.03E-132,V,Unassigned,Chuviridae,Unassigned,Glycoprotein,Structural,
supercont3.988,supercont3.988_3,121442,122047,605,39.50%,KX924631,"Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds",1.69E-35,V,Unassigned,Chuviridae,Unassigned,Glycoprotein,Structural,
supercont3.1002,supercont3.1002_1,130770,129742,-1028,37.60%,KX924631,"Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds",3.22E-67,V,Unassigned,Chuviridae,Unassigned,Glycoprotein,Structural,
supercont3.1306,supercont3.1306_2,85624,86520,896,38.50%,KX924631,"Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds",9.08E-59,V,Unassigned,Chuviridae,Unassigned,Glycoprotein,Structural,
supercont3.103,supercont3.103,458661,458218,-443,45.40%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",6.10E-41,V,Mononegavirales,Unassigned,Unassigned,Glycoprotein,Structural,
supercont3.115,supercont3.115,915786,917732,1946,65.30%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",2.66E-171,V,Mononegavirales,Unassigned,Unassigned,Glycoprotein,Structural,
supercont3.148,supercont3.148_2,247699,246500,-1199,68.50%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",0,V,Mononegavirales,Unassigned,Unassigned,Glycoprotein,Structural,
supercont3.170,supercont3.170,64202,62304,-1898,69.30%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",0,V,Mononegavirales,Unassigned,Unassigned,Glycoprotein,Structural,
supercont3.270,supercont3.270,242175,241732,-443,45.40%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",4.08E-41,V,Mononegavirales,Unassigned,Unassigned,Glycoprotein,Structural,
supercont3.380,supercont3.380,261813,261391,-422,45.40%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",6.61E-41,V,Mononegavirales,Unassigned,Unassigned,Glycoprotein,Structural,
supercont3.418,supercont3.418,376694,377137,443,44.70%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",2.18E-40,V,Mononegavirales,Unassigned,Unassigned,Glycoprotein,Structural,
supercont3.602,supercont3.602_1,261378,260935,-443,44.00%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",6.60E-39,V,Mononegavirales,Unassigned,Unassigned,Glycoprotein,Structural,
supercont3.602,supercont3.602_2,261417,260941,-476,43.90%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",3.31E-38,V,Mononegavirales,Unassigned,Unassigned,Glycoprotein,Structural,
supercont3.726,supercont3.726,69749,70171,422,44.70%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",2.19E-40,V,Mononegavirales,Unassigned,Unassigned,Glycoprotein,Structural,
supercont3.882,supercont3.882,102613,101531,-1082,53.40%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",4.82E-112,V,Mononegavirales,Unassigned,Unassigned,Glycoprotein,Structural,
supercont3.975,supercont3.975,97409,96966,-443,44.70%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",1.03E-39,V,Mononegavirales,Unassigned,Unassigned,Glycoprotein,Structural,
supercont3.988,supercont3.988_1,123104,123568,464,62.50%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",1.17E-61,V,Mononegavirales,Unassigned,Unassigned,Glycoprotein,Structural,
supercont3.988,supercont3.988_2,122315,122986,671,69.60%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",1.08E-74,V,Mononegavirales,Unassigned,Unassigned,Glycoprotein,Structural,
supercont3.1002,supercont3.1002_2,129730,128807,-923,72.30%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",1.39E-151,V,Mononegavirales,Unassigned,Unassigned,Glycoprotein,Structural,
supercont3.1055,supercont3.1055,62135,62578,443,45.40%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",3.54E-41,V,Mononegavirales,Unassigned,Unassigned,Glycoprotein,Structural,
supercont3.1306,supercont3.1306_1,86511,87512,1001,70.70%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",5.38E-172,V,Mononegavirales,Unassigned,Unassigned,Glycoprotein,Structural,
supercont3.2825,supercont3.2825,11418,10939,-479,53.70%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",2.17E-45,V,Mononegavirales,Unassigned,Unassigned,Glycoprotein,Structural,
supercont3.1007,supercont3.1007,87914,88141,227,86.80%,KM817610,"Wuhan Mosquito Virus 8 strain XC2-7, complete genome",7.08E-36,V,Unassigned,Chuviridae,Unassigned,Nucleoprotein,Structural,
supercont3.254,supercont3.254,199572,200843,1271,71.90%,AB604791,"Culex tritaeniorhynchus rhabdovirus RNA, complete genome, strain: TY",0.00E+00,V,Mononegavirales,Rhabdoviridae,Unassigned,Nucleoprotein,Structural,
supercont3.1009,supercont3.1009,77456,78055,599,40.30%,KY056255,"Dianke virus strain SEN249606, complete genome",4.18E-36,IV,Nidovirales,Mesoniviridae,Alphamesonivirus,ORF1ab,Non-structural,
,,,,,,,,,,,,,,,
Anopheles gambiae,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,Characteristics of closest tBLASTn match,,,,,,,,,
